Family,Subfamily,Tribe,Species name and author,tips,"broad_sociality (solitary, social, kleptoparasite, social parasite)","fine_sociality (communal, primitively eusocial, eusocial)",sociality_notes,sociality_ref,nesting_broad,nesting_fine,reference,Nest.Accuracy,habitat,reference
Andrenidae,,Andreninini,,Andrena_illinoiensis,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_ziziae,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_personata,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_candidiformis,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_piperi,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_microchlora,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_trapezoidea,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_iliaca,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_stenofovea,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_fuscicollis,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_janthina,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_janthinoides,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_obtusa,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_xera,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_hypopolia,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_varicornis,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_seminuda,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_nobilis,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_melittoides,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_avara,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_rufiventris,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_danini,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_garrula,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_humilis,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_kamarti,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_orientana,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_taraxaci,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_pastellensis,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_rhenana,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_curtivalvis,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_cinerea,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_tadauchii,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_nigroolivacea,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_isis,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_exquisita,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_monilia,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
