family,subfamily,tribe,tips,broad_sociality,parasite_host_sociality,fine_sociality,sociality_notes,sociality_ref,broad_nesting,parasite_host_nesting,fine_nesting,nesting_notes,nesting_ref,nest_accuracy,host_bee,host_ref,wax,resin,floral_oil,nestmat_accuracy,nest_materials_ref
Andrenidae,,Andreninini,Andrena_tebessana,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_alfkenella,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_floricola,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_minutuloides,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_paganettina,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_tkalcui,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_minutula,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_sillata,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_convexifrons,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_nana,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_hikosana,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_subopaca,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_falsifica,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_kaguya,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_komachi,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_semirugosa,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_tenuistriata,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_cervina,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_wollastoni,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_lunaris,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_rugothorace,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_simontornyella,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_enslinella,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_tringa,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_yelkouan,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
