"family","subfamily","species"
"Apidae","Nomadinae","Triepeolus diffusus"
"Apidae","Apinae","Centris tiburonensis"
"Apidae","Apinae","Eucera albescens"
"Apidae","Apinae","Plebeia jatiformis"
"Apidae","Apinae","Eucera amsinckiae"
"Apidae","Nomadinae","Nomada placida"
"Megachilidae","Megachilinae","Coelioxys texanus"
"Apidae","Apinae","Anthophorula morgani"
"Apidae","Apinae","Melissodes elegans"
"Apidae","Apinae","Centris eisenii"
"Apidae","Apinae","Eucera belfragei"
"Apidae","Xylocopinae","Xylocopa cearensis"
"Apidae","Apinae","Eufriesea micheneri"
"Apidae","Apinae","Peponapis utahensis"
"Apidae","Nomadinae","Triepeolus antiochensis"
"Apidae","Nomadinae","Nomada erythrocephala"
"Apidae","Xylocopinae","Ceratina azteca"
"Apidae","Nomadinae","Triepeolus zacatecus"
"Apidae","Apinae","Peponapis crassidentata"
"Apidae","Apinae","Amegilla salviae"
"Apidae","Apinae","Centris rhodomelas"
"Apidae","Apinae","Xenoglossa patricia"
"Apidae","Apinae","Anthophora platti"
"Apidae","Apinae","Anthophora coptognatha"
"Apidae","Apinae","Eucera texana"
"Apidae","Xylocopinae","Ceratina capitosa"
"Apidae","Nomadinae","Triepeolus epeolurus"
"Apidae","Apinae","Thyreus massuri"
"Apidae","Apinae","Anthophorula palmarum"
"Apidae","Apinae","Anthophorula brevicornis"
"Apidae","Nomadinae","Triepeolus rufithorax"
"Apidae","Nomadinae","Triepeolus eldoradensis"
"Apidae","Nomadinae","Triepeolus micropygius"
"Apidae","Xylocopinae","Ceratina nanula"
"Apidae","Apinae","Exomalopsis birkmanni"
"Apidae","Nomadinae","Brachynomada annectens"
"Apidae","Nomadinae","Nomada frieseana"
"Apidae","Apinae","Scaptotrigona wheeleri"
"Apidae","Apinae","Melissodes niveus"
"Apidae","Nomadinae","Holcopasites heliopsis"
"Apidae","Nomadinae","Triepeolus circumculus"
"Apidae","Apinae","Anthophorula cornigera"
"Apidae","Nomadinae","Nomada sophiarum"
"Apidae","Nomadinae","Nomada pascoensis"
"Apidae","Apinae","Svastra aegis"
"Apidae","Nomadinae","Neolarra batrae"
"Apidae","Apinae","Melitoma grisella"
"Apidae","Apinae","Eufriesea engeli"
"Apidae","Apinae","Paratetrapedia apicalis"
"Apidae","Nomadinae","Holcopasites illinoiensis"
"Apidae","Nomadinae","Triepeolus tanneri"
"Apidae","Apinae","Eucera chrysobotryae"
"Apidae","Apinae","Anthophora linsleyi"
"Apidae","Apinae","Melipona phenax"
"Apidae","Apinae","Paratetrapedia pygmaea"
"Apidae","Apinae","Eucera dubitata"
"Apidae","Apinae","Eucera spatulata"
"Apidae","Apinae","Melissodes leprieuri"
"Apidae","Nomadinae","Nomada nigrovaria"
"Apidae","Xylocopinae","Xylocopa lateralis"
"Apidae","Apinae","Deltoptila pexata"
"Apidae","Xylocopinae","Ceratina chloris"
"Apidae","Nomadinae","Nomada parva"
