"species","n_bio_3","mean_bio_3","sd_bio_3","se_bio_3","within_sp_var_bio_3"
"Melipona_panamica","8","60.375","4.206712","1.487297","5.088053"
"Eucera_kullenbergi","2","8","0","0","20.352214"
"Tetragonula_sirindhornae","4","48.25","1.707825","0.853912","10.176107"
"Oreopasites_vanduzeei","26","37.038462","5.772215","1.132024","1.565555"
"Melissodes_vernalis","16","34.875","4.773189","1.193297","2.544027"
"Anthophora_peritomae","46","31.173913","2.63569","0.388611","0.884879"
"Neolarra_verbesinae","12","32.25","2.895922","0.835981","3.392036"
"Centris_fuscata","48","52.5","6.964958","1.005305","0.848009"
"Diadasia_vallicola","45","35.866667","3.894051","0.580491","0.904543"
"Melissodes_fimbriatus","16","30.9375","4.024405","1.006101","2.544027"
"Diadasia_laticauda","12","42.083333","2.998737","0.865661","3.392036"
"Melitoma_segmentaria","85","51.482353","10.126123","1.098332","0.478876"
"Ceratina_nanula","148","34.567568","5.229641","0.429874","0.27503"
"Exomalopsis_byersi","18","53.555556","3.822876","0.901061","2.261357"
"Thygater_micheneri","5","48.4","3.361547","1.50333","8.140886"
"Epeolus_canadensis","27","27.666667","6.592537","1.268734","1.507571"
"Deltoptila_aurulentocaudata","11","53.454545","3.984059","1.201239","3.700403"
"Brachynomada_margaretae","4","39.5","2.380476","1.190238","10.176107"
"Trigona_albipennis","41","61.195122","4.279133","0.668288","0.992791"
"Anthophorula_completa","39","37.538462","4.706357","0.75362","1.043703"
"Exomalopsis_mellipes","61","50.655738","6.658041","0.852475","0.667286"
"Anthophora_fulvicauda","16","38.1875","3.816084","0.954021","2.544027"
"Caenonomada_bruneri","22","41.681818","5.33083","1.136537","1.850201"
"Euglossa_atroveneta","10","55.7","1.636392","0.517473","4.070443"
"Trigona_fuscipennis","91","55.318681","7.35131","0.770627","0.447301"
"Euglossa_obtusa","6","47.833333","7.521081","3.070468","6.784071"
"Eufriesea_rugosa","18","53.722222","4.322384","1.018796","2.261357"
"Eucera_aragalli","5","32.2","4.764452","2.130728","8.140886"
"Melissodes_coloradensis","28","27.75","3.921687","0.741129","1.45373"
"Melissodes_sphaeralceae","18","40.222222","6.301779","1.485344","2.261357"
"Eucera_fulvitarsis","64","30.25","2.507133","0.313392","0.636007"
"Melissodes_hymenoxidis","21","32.714286","3.822864","0.834217","1.938306"
"Anthophorula_exilis","5","39","2.54951","1.140176","8.140886"
"Eucera_primiveris","33","32.818182","3.404542","0.592655","1.233468"
"Anthophora_striata","12","38.416667","2.906367","0.838996","3.392036"
"Oreopasites_barbarae","3","36.333333","2.081666","1.20185","13.568143"
"Triopasites_penniger","22","38","4.309458","0.91878","1.850201"
"Townsendiella_pulchra","23","35.608696","3.36748","0.702168","1.769758"
"Centris_cockerelli","56","37.303571","3.818232","0.510233","0.726865"
"Xylocopa_guatemalensis","31","52.516129","5.02574","0.90265","1.313046"
"Epeolus_attenboroughi","3","35","0","0","13.568143"
"Eufriesea_concava","26","56.423077","7.788058","1.527364","1.565555"
"Anthophorula_sidae","8","38.5","3.251373","1.149534","5.088053"
"Melecta_separata","60","33.75","5.998941","0.77446","0.678407"
"Centris_vittata","51","54.294118","6.515502","0.912353","0.798126"
"Melissodes_saponellus","26","32.653846","4.971457","0.974983","1.565555"
"Hasinamelissa_isaloensis","1","50",NA,NA,"40.704428"
"Eucera_angustifrons","17","35.941176","3.508393","0.85091","2.394378"
"Epeolus_ainsliei","15","24.866667","4.911599","1.268169","2.713629"
"Holcopasites_stevensi","31","33.290323","7.802536","1.401377","1.313046"
"Paranomada_velutina","25","39.68","4.120275","0.824055","1.628177"
"Diadasia_afflictula","11","37","2.144761","0.64667","3.700403"
"Eufriesea_atlantica","2","58.5","4.949747","3.5","20.352214"
"Epeolus_lectoides","58","24.982759","5.256546","0.690218","0.7018"
"Triepeolus_pectoralis","72","22.638889","3.854047","0.454204","0.565339"
"Ceratina_waini","1","43",NA,NA,"40.704428"
"Svastra_nevadensis","4","41","7.527727","3.763863","10.176107"
"Svastra_helianthelli","31","34.451613","3.60406","0.647308","1.313046"
"Oxytrigona_mediorufa","7","60.285714","2.13809","0.808122","5.814918"
"Melecta_pacifica","102","31.921569","4.918517","0.487006","0.399063"
"Anthophora_salazariae","22","35.045455","4.076381","0.869087","1.850201"
"Epeolus_flavofasciatus","8","45.375","8.765802","3.099179","5.088053"
"Leiopodus_singularis","30","42.266667","6.079549","1.109969","1.356814"
"Nomada_obliterata","33","23.939394","2.597347","0.45214","1.233468"
