"species","n_LAI","mean_LAI","sd_LAI","se_LAI","within_sp_var_LAI"
"Sphecodes_rhois","11","31","74.423115","22.439413","833.444833"
"Dufourea_spinifera","8","68.75","115.021427","40.666216","1145.986646"
"Dufourea_trochantera","35","35.828571","71.04327","12.008504","261.939805"
"Lasioglossum_mesillense","18","20.111111","58.826654","13.865575","509.327398"
"Lasioglossum_transvorsum","7","53.857143","38.662767","14.613152","1309.699024"
"Lasioglossum_aquilae","13","80.307692","102.104836","28.318786","705.222551"
"Halictus_patellatus","17","70.235294","106.095199","25.731865","539.287833"
"Lasioglossum_versifrons","1","119",NA,NA,"9167.893166"
"Lasioglossum_acarophilum","23","19.391304","21.947746","4.576421","398.604051"
"Lasioglossum_hartii","10","46.3","77.072909","24.372594","916.789317"
"Lasioglossum_asaphes","10","47.1","29.486155","9.324341","916.789317"
"Sphecodes_arvensiformis","30","70.966667","103.847197","18.959817","305.596439"
"Conanthalictus_conanthi","3","3","0","0","3055.964389"
"Lasioglossum_trigeminum","66","78.348485","105.307972","12.962515","138.907472"
"Lasioglossum_fijiense","10","190.7","69.144053","21.865269","916.789317"
"Lasioglossum_puteulanum","40","112.425","106.623923","16.858722","229.197329"
"Lasioglossum_sheffieldi","3","255","0","0","3055.964389"
"Lasioglossum_athabascense","46","72.021739","104.169838","15.359005","199.302025"
"Sphecodes_clematidis","24","84.583333","111.960364","22.853814","381.995549"
"Xeralictus_timberlakei","10","34.1","78.088909","24.693881","916.789317"
"Lasioglossum_manitouellum","17","24.823529","59.48554","14.427363","539.287833"
"Lasioglossum_georgeickworti","14","103.5","117.227425","31.330347","654.849512"
"Dufourea_spilura","7","42.142857","93.904967","35.492741","1309.699024"
"Lasioglossum_obscurum","56","70.553571","103.589736","13.842761","163.712378"
"Lasioglossum_batya","7","134.714286","113.520504","42.906717","1309.699024"
"Lasioglossum_mediterraneum","7","51.142857","90.353802","34.150527","1309.699024"
"Sphecodes_galerus","15","94.533333","117.842429","30.426784","611.192878"
"Nomia_terminata","3","111.333333","43.87862","25.333333","3055.964389"
"Lasioglossum_katherineae","27","77.740741","106.999135","20.591993","339.551599"
"Lasioglossum_dashwoodi","2","17.5","4.949747","3.5","4583.946583"
"Lasioglossum_comagenense","27","19.259259","49.298613","9.487522","339.551599"
"Lasioglossum_absimile","1","3",NA,NA,"9167.893166"
"Lasioglossum_rufitarse","258","67.24031","95.967348","5.974666","35.53447"
"Lasioglossum_intermedium","32","72.3125","90.24284","15.952831","286.496661"
"Lasioglossum_sopinci","15","88.2","105.347181","27.200525","611.192878"
"Lasioglossum_brunneiventre","16","86.125","117.850117","29.462529","572.993323"
"Lasioglossum_hemimelas","4","11.25","6.396614","3.198307","2291.973292"
"Lasioglossum_petrellum","17","66.294118","108.05714","26.207706","539.287833"
"Lasioglossum_arantium","5","78.2","99.159972","44.345688","1833.578633"
"Lasioglossum_apocyni","25","31.16","67.515233","13.503047","366.715727"
"Halictillus_verissimus","4","149.75","124.057446","62.028723","2291.973292"
"Lasioglossum_punctatoventre","32","44.34375","81.4508","14.398603","286.496661"
"Sphecodes_crassus","238","85.357143","104.693659","6.786282","38.52056"
"Lasioglossum_ohei","3","89.666667","143.182867","82.666667","3055.964389"
"Lasioglossum_villosulum","276","98.467391","104.648237","6.299084","33.217004"
"Sphecodes_nipponicus","3","107.666667","128.593675","74.243593","3055.964389"
"Caenohalictus_cyanopygus","3","80","27.495454","15.874508","3055.964389"
"Caenohalictus_flammeus","3","73","27.87472","16.093477","3055.964389"
"Halictus_cochlearitarsis","12","23.666667","15.05344","4.345554","763.991097"
"Lasioglossum_tuolumnense","2","5","2.828427","2","4583.946583"
"Lasioglossum_lineare","51","59.666667","79.735479","11.1652","179.762611"
"Caenohalictus_galletue","1","43",NA,NA,"9167.893166"
"Sphecodes_dichrous","68","80.485294","109.810487","13.316478","134.821958"
"Lasioglossum_pruinosum","75","59","98.894156","11.419314","122.238576"
"Hylaeus_communis","307","81.765472","99.775485","5.694488","29.862844"
"Lasioglossum_impavidum","22","57.590909","100.226724","21.368409","416.722417"
"Sphecodes_olivieri","12","195.333333","107.954817","31.163871","763.991097"
"Lasioglossum_swenki","9","59.444444","110.87731","36.959103","1018.654796"
"Lasioglossum_coactum","51","50.313725","89.496478","12.532014","179.762611"
"Lasioglossum_callizonium","10","95.7","110.386241","34.907194","916.789317"
"Halictillus_badiclypeus","1","18",NA,NA,"9167.893166"
"Sphecodes_cressonii","38","95.289474","116.865575","18.9581","241.260346"
"Penapis_larraini","3","255","0","0","3055.964389"
"Lasioglossum_hyalinum","38","58.605263","102.889744","16.69092","241.260346"
"Sphecodes_prosphorus","23","85.608696","114.679688","23.912368","398.604051"
"Sphecodes_marginatus","36","71.694444","84.772913","14.128819","254.663699"
"Xeralictus_bicuspidariae","11","49.454545","101.64582","30.647368","833.444833"
"Lasioglossum_hudsoniellum","49","52.163265","97.298798","13.899828","187.099861"
"Lasioglossum_gotham","45","62.555556","97.482063","14.531768","203.730959"
"Lasioglossum_miniatulum","4","143.5","128.74911","64.374555","2291.973292"
"Lasioglossum_alachuense","3","50","19.467922","11.23981","3055.964389"
"Lasioglossum_longifrons","19","122.684211","116.503244","26.727677","482.520693"
"Lasioglossum_leviense","7","45.857143","26.629736","10.065094","1309.699024"
"Lasioglossum_creberrimum","36","107.972222","106.394545","17.732424","254.663699"
"Lasioglossum_nitidiusculum","126","111.777778","106.241678","9.464761","72.761057"
"Lasioglossum_kincaidii","23","113.913043","117.238651","24.445949","398.604051"
"Lasioglossum_miyabei","2","7","0","0","4583.946583"
"Lasioglossum_novascotiae","13","85","118.080481","32.749633","705.222551"
"Dufourea_monardae","21","56.952381","98.650634","21.527333","436.566341"
"Lasioglossum_cattellae","33","78.606061","109.802931","19.114237","277.814944"
"Lasioglossum_paradmirandum","52","59.057692","96.699943","13.409869","176.305638"
"Lasioglossum_pacificum","29","122.551724","107.849626","20.027173","316.134247"
"Pseudapis_oxybeloides","32","130.625","112.868107","19.952451","286.496661"
"Lasioglossum_fulvicorne","210","71.87619","94.968007","6.553415","43.656634"
"Lasioglossum_sandhousiellum","3","30.666667","38.785736","22.392955","3055.964389"
"Lasioglossum_carlinvillense","3","8","5.567764","3.21455","3055.964389"
"Lasioglossum_marinense","12","58.666667","69.516948","20.067814","763.991097"
"Lasioglossum_platyparium","43","86.534884","112.396905","17.140367","213.206818"
"Steganomus_lieftincki","1","14",NA,NA,"9167.893166"
"Lasioglossum_truncatum","60","53.516667","91.047853","11.754227","152.798219"
"Lasioglossum_macroprosopum","8","73.75","112.220128","39.675807","1145.986646"
"Lasioglossum_whiteanum","6","140.5","125.948799","51.418382","1527.982194"
"Lasioglossum_deceptum","5","48.6","58.654071","26.230898","1833.578633"
"Lasioglossum_rozeni","22","124.272727","122.214169","26.056148","416.722417"
"Sphecodes_illinoensis","26","78.346154","109.520388","21.478715","352.611276"
"Andrena_miserabilis","230","76.034783","103.547169","6.827698","39.860405"
"Lasioglossum_atwoodi","15","108.666667","123.771487","31.957661","611.192878"
"Sphecodes_pimpinellae","22","112.090909","121.862104","25.981088","416.722417"
"Lasioglossum_fedorense","10","82","119.480356","37.783006","916.789317"
"Lasioglossum_pygmaeum","38","64.473684","84.543204","13.714719","241.260346"
"Lasioglossum_minutissimum","101","98.207921","99.195697","9.870341","90.771219"
"Lasioglossum_taylorae","20","51.4","87.80265","19.633269","458.394658"
"Lasioglossum_timothyi","26","70.538462","103.243491","20.247714","352.611276"
"Lasioglossum_droegei","1","3",NA,NA,"9167.893166"
"Lasioglossum_packeri","3","5.666667","2.309401","1.333333","3055.964389"
"Lasioglossum_tricnicos","5","52.8","33.536547","14.998","1833.578633"
"Caenaugochlora_inermis","17","83.823529","63.258631","15.342472","539.287833"
"Lasioglossum_aliud","13","25.461538","69.161183","19.181861","705.222551"
"Megalopta_furunculosa","1","65",NA,NA,"9167.893166"
"Pseudaugochlora_simulata","6","130.666667","69.94474","28.554821","1527.982194"
"Mexalictus_arizonensis","2","12","2.828427","2","4583.946583"
"Megalopta_byroni","2","154.5","142.128463","100.5","4583.946583"
"Dufourea_malacothricis","15","38.333333","88.027323","22.728557","611.192878"
"Lasioglossum_lepidii","6","219","88.181631","36","1527.982194"
"Lasioglossum_arcanum","9","37.555556","82.926339","27.642113","1018.654796"
"Thectochlora_brachycera","10","141","92.497447","29.250261","916.789317"
"Andrena_cressonii","218","77.743119","106.370139","7.204295","42.054556"
"Lasioglossum_reasbeckae","2","36","0","0","4583.946583"
"Lasioglossum_fattigi","22","35.954545","71.082432","15.154825","416.722417"
"Systropha_planidens","24","28.625","49.279868","10.059211","381.995549"
"Halictus_sexcinctus","160","63.04375","86.23701","6.817634","57.299332"
"Lasioglossum_ebmerellum","9","32.333333","83.522452","27.840817","1018.654796"
"Lasioglossum_abundipunctum","8","5","2.13809","0.755929","1145.986646"
"Sphecodes_dusmeti","2","23","7.071068","5","4583.946583"
"Lasioglossum_cephalotes","5","111.2","131.280996","58.710646","1833.578633"
"Lasioglossum_occultum","5","67","105.579354","47.216523","1833.578633"
"Dufourea_dilatipes","6","14","16.074825","6.56252","1527.982194"
"Lasioglossum_allodalum","2","19.5","23.334524","16.5","4583.946583"
"Sphecodes_longulus","85","89.011765","100.370088","10.886665","107.857567"
"Lasioglossum_primavera","3","10.333333","3.511885","2.027588","3055.964389"
"Lasioglossum_virideglaucum","0","NaN",NA,NA,"Inf"
"Lasioglossum_hienae","1","57",NA,NA,"9167.893166"
"Dufourea_harveyi","24","28.166667","69.978672","14.284337","381.995549"
"Lasioglossum_lazulis","0","NaN",NA,NA,"Inf"
"Protodufourea_parca","2","129","178.190909","126","4583.946583"
"Agapostemon_semimelleus","37","139.297297","71.978726","11.83323","247.780896"
"Lasioglossum_morio","248","85.028226","99.009647","6.287119","36.967311"
"Lasioglossum_albipes","335","85.176119","103.728755","5.667307","27.366845"
"Lasioglossum_lativentre","123","73.764228","82.484085","7.437339","74.535717"
"Lasioglossum_calceatum","386","85.940415","101.430568","5.16268","23.751019"
"Sphecodes_monilicornis","257","89.902724","100.257063","6.253864","35.672736"
"Sphecodes_reticulatus","123","94.626016","103.078468","9.294272","74.535717"
"Lasioglossum_sexnotatum","99","90.727273","99.58801","10.008972","92.604981"
"Lasioglossum_pauxillum","122","63.737705","76.435875","6.920179","75.146665"
"Lasioglossum_malachurum","152","85.046053","93.203142","7.559773","60.315087"
"Sphecodes_pellucidus","237","86.810127","105.343193","6.842776","38.683094"
"Lasioglossum_smeathmanellum","62","130.419355","102.403341","13.005237","147.869245"
"Lasioglossum_leucopus","283","94.045936","109.074352","6.483797","32.395382"
"Lasioglossum_parvulum","77","88.415584","91.507025","10.428193","119.063548"
"Sphecodes_puncticeps","138","93.855072","99.616458","8.479916","66.434008"
"Sphecodes_miniatus","118","86.567797","98.036926","9.025031","77.69401"
"Sphecodes_gibbus","254","87.917323","101.838073","6.389889","36.094068"
"Lasioglossum_puncticolle","44","89.068182","98.456317","14.842848","208.361208"
"Sphecodes_rubicundus","57","102.912281","101.136097","13.395803","160.840231"
"Lasioglossum_punctatissimum","197","94.380711","100.251328","7.142611","46.537529"
"Sphecodes_spinulosus","39","78.076923","84.744627","13.570001","235.074184"
"Lasioglossum_laevigatum","83","73.421687","81.145777","8.906906","110.456544"
"Halictus_scabiosae","307","79.348534","92.549399","5.282073","29.862844"
"Lasioglossum_nigripes","61","65.590164","90.359168","11.569306","150.293331"
"Lasioglossum_marginatum","64","71.65625","93.976393","11.747049","143.248331"
"Nomia_strigata","54","129.314815","89.643281","12.198905","169.775799"
"Sphecodes_albilabris","309","81.627832","99.649877","5.668883","29.669557"
"Halictus_langobardicus","38","53.710526","71.38851","11.580746","241.260346"
"Ruizantheda_mutabilis","35","109.971429","92.673521","15.664684","261.939805"
"Lasioglossum_albescens","79","105.35443","94.260963","10.605187","116.049281"
"Megalopta_genalis","18","152.333333","74.803271","17.6313","509.327398"
"Halictus_quadricinctus","166","86.46988","102.393458","7.947274","55.228272"
"Halictus_aerarius","49","98.816327","111.59351","15.94193","187.099861"
"Nomia_thoracica","31","109.580645","90.550455","16.263342","295.738489"
"Halictus_fulvipes","40","134.7","116.266096","18.383284","229.197329"
"Lasioglossum_quadrinotatum","74","80.162162","87.259498","10.143711","123.890448"
"Lasioglossum_semilucens","106","71.679245","92.686625","9.002521","86.489558"
"Lasioglossum_aeratum","50","92.84","107.919728","15.262154","183.357863"
"Dufourea_dentiventris","116","70.077586","100.440867","9.3257","79.033562"
"Sphecodes_ferruginatus","179","79.340782","99.381633","7.428132","51.21728"
"Dufourea_halictula","27","57.037037","85.752991","16.503171","339.551599"
"Sphecodes_hyalinatus","206","70.228155","92.659626","6.455902","44.504336"
"Lasioglossum_glabriusculum","48","68.875","90.924244","13.123784","190.997774"
"Lasioglossum_subhirtum","17","42.764706","56.876543","13.794588","539.287833"
"Sphecodes_pseudofasciatus","16","54.625","78.855036","19.713759","572.993323"
"Lasioglossum_politum","61","62.47541","81.625079","10.45102","150.293331"
"Lasioglossum_minutulum","34","53.382353","64.800867","11.113257","269.643917"
"Halictus_compressus","73","73.589041","93.679987","10.964413","125.587578"
"Nomioides_minutissimus","50","151.72","118.208401","16.717192","183.357863"
"Nomia_westwoodi","38","117.736842","110.187478","17.874769","241.260346"
"Lasioglossum_nitidulum","72","107.208333","106.01381","12.493847","127.33185"
"Lasioglossum_pauperatum","32","87.5","90.978906","16.08295","286.496661"
"Lasioglossum_majus","42","61.738095","80.806019","12.468639","218.283171"
"Lasioglossum_xanthopus","117","79.905983","95.635802","8.841533","78.358061"
"Lasioglossum_lucidulum","78","79.884615","101.333445","11.473753","117.537092"
"Lasioglossum_costulatum","55","46.018182","60.332563","8.135241","166.688967"
"Systropha_curvicornis","32","62.84375","85.547236","15.122758","286.496661"
"Lasioglossum_interruptum","63","51.492063","67.806383","8.542801","145.522114"
"Lasioglossum_tricinctum","30","43.7","58.898598","10.753364","305.596439"
"Nomia_incerta","51","111.647059","99.890505","13.987468","179.762611"
"Rhinetula_denticrus","10","176","69.309291","21.917522","916.789317"
"Halictus_vestitus","15","86.866667","105.346955","27.200467","611.192878"
"Lasioglossum_collopiense","4","135.25","138.651542","69.325771","2291.973292"
"Augochlorella_ephyra","32","131.4375","87.128358","15.402263","286.496661"
"Augochlorella_urania","13","146.769231","85.923565","23.830909","705.222551"
"Neocorynura_codion","33","112.121212","60.133579","10.467912","277.814944"
"Paroxystoglossa_transversa","3","108","25","14.433757","3055.964389"
"Thectochlora_alaris","50","105.84","65.788269","9.303866","183.357863"
"Pseudaugochlora_pandora","3","140","111.664677","64.469631","3055.964389"
"Pseudagapostemon_pampeanus","28","93.142857","100.917904","19.071691","327.424756"
"Halictus_kessleri","16","79.875","104.646628","26.161657","572.993323"
"Nomia_curvipes","7","68","83.699861","31.635574","1309.699024"
"Cellariella_kalaharica","4","149.75","121.615172","60.807586","2291.973292"
"Patellapis_castanea","3","128.333333","45.74203","26.409173","3055.964389"
"Rophites_algirus","31","47.193548","70.664663","12.691748","295.738489"
"Rophites_canus","15","101.266667","113.336709","29.263412","611.192878"
"Pseudapis_nilotica","11","232.090909","75.980859","22.909091","833.444833"
"Lasioglossum_hadrandrum","1","119",NA,NA,"9167.893166"
"Augochloropsis_sparsilis","19","140.210526","76.4443","17.537525","482.520693"
"Corynura_herbsti","7","121.857143","125.248325","47.339417","1309.699024"
"Rhinocorynura_briseis","10","111.1","60.58135","19.157505","916.789317"
"Halictus_subauratoides","1","68",NA,NA,"9167.893166"
"Halictus_vicinus","2","48","28.284271","20","4583.946583"
"Ruizantheda_divaricata","3","191.666667","109.696551","63.333333","3055.964389"
"Lipotriches_fulvinerva","2","158","137.178716","97","4583.946583"
"Pseudapis_interstitinervis","11","99.363636","123.457906","37.223959","833.444833"
"Paroxystoglossa_barbata","2","149","149.906638","106","4583.946583"
"Halictus_crenicornis","9","22.333333","15.580436","5.193479","1018.654796"
"Halictus_propinquus","3","118.333333","119.717724","69.11906","3055.964389"
"Dufourea_alpina","14","45.571429","89.415809","23.89738","654.849512"
"Pseudapis_flavolobata","2","149","149.906638","106","4583.946583"
"Halictus_pollinosus","34","100.558824","108.93178","18.681646","269.643917"
"Halictus_pici","5","255","0","0","1833.578633"
"Lasioglossum_serenum","1","255",NA,NA,"9167.893166"
"Dufourea_minuta","33","75.333333","104.11402","18.123925","277.814944"
"Sphecodes_schenckii","17","53.058824","77.350235","18.760188","539.287833"
"Lasioglossum_griseolum","33","89.606061","103.360697","17.992788","277.814944"
"Megalopta_atra","5","93","64.463168","28.828805","1833.578633"
"Eupetersia_sakalava","3","58.666667","46.360903","26.76648","3055.964389"
"Nomioides_facilis","27","119.666667","115.124682","22.155755","339.551599"
"Ceylalictus_punjabensis","3","255","0","0","3055.964389"
"Corynura_chilensis","28","93.035714","83.611749","15.801135","327.424756"
"Dufourea_paradoxa","12","47.75","96.846763","27.957252","763.991097"
"Megommation_insigne","2","230.5","34.648232","24.5","4583.946583"
"Lasioglossum_convexiusculum","23","54.608696","80.065166","16.694741","398.604051"
"Sphecodes_majalis","24","49.083333","64.354262","13.136259","381.995549"
"Lasioglossum_bluethgeni","15","57.666667","80.573539","20.803998","611.192878"
"Lasioglossum_pallens","40","56.2","68.583918","10.84407","229.197329"
"Lasioglossum_albocinctum","27","60.814815","83.572648","16.083564","339.551599"
"Lasioglossum_enatum","1","255",NA,NA,"9167.893166"
"Lasioglossum_fernandezis","3","90.666667","142.324746","82.17123","3055.964389"
"Rophites_quinquespinosus","36","42.138889","54.819784","9.136631","254.663699"
"Lasioglossum_dispersum","2","255","0","0","4583.946583"
"Lasioglossum_pleurospeculum","2","25","9.899495","7","4583.946583"
"Sphecodes_niger","67","83.462687","91.253448","11.148383","136.834226"
"Lasioglossum_breviventre","6","20.666667","19.148542","7.81736","1527.982194"
"Corynura_rubella","20","146.5","71.411705","15.968143","458.394658"
"Lasioglossum_medinai","16","53.125","79.109102","19.777275","572.993323"
"Lasioglossum_setulosum","7","57","88.128694","33.309515","1309.699024"
"Sphecodes_croaticus","16","58.25","78.307513","19.576878","572.993323"
"Corynura_ampliata","5","123.6","100.028996","44.734327","1833.578633"
"Megaloptidia_nocturna","4","101.75","28.756159","14.37808","2291.973292"
"Lasioglossum_angusticeps","13","88.461538","96.933496","26.884515","705.222551"
"Lasioglossum_pseudolittorale","2","255","0","0","4583.946583"
"Lasioglossum_pavoninum","5","53.4","112.697826","50.4","1833.578633"
"Lasioglossum_pectinatum","14","28.928571","65.463395","17.495828","654.849512"
"Dufourea_inermis","34","63.852941","90.890588","15.587607","269.643917"
"Lasioglossum_mutilum","10","110.1","102.68014","32.470311","916.789317"
"Lasioglossum_duplex","8","102.5","126.500141","44.724554","1145.986646"
"Lasioglossum_scitulum","10","116.1","120.431124","38.083665","916.789317"
"Lasioglossum_proximatum","8","107.125","122.786036","43.411419","1145.986646"
"Lasioglossum_japonicum","7","132.285714","116.035504","43.857298","1309.699024"
"Lasioglossum_taeniolellum","4","131.75","142.322111","71.161056","2291.973292"
"Lasioglossum_sibiriacum","6","32.5","43.921521","17.930886","1527.982194"
"Lipotriches_yasumatsui","1","255",NA,NA,"9167.893166"
"Lasioglossum_euboeense","9","71.888889","104.190264","34.730088","1018.654796"
"Corynura_bruchiana","4","215.75","45.733831","22.866916","2291.973292"
"Pseudapis_siamensis","43","96.72093","81.72","12.462183","213.206818"
"Ruizantheda_proxima","34","104.941176","92.887661","15.930102","269.643917"
"Lasioglossum_matianense","1","3",NA,NA,"9167.893166"
"Lasioglossum_subfasciatum","22","36.909091","50.038946","10.668339","416.722417"
"Sphecodes_crassanus","11","22.545455","11.699262","3.52746","833.444833"
"Lasioglossum_baleicum","5","11.8","11.562872","5.171074","1833.578633"
"Lasioglossum_bavaricum","12","14.416667","9.009675","2.600869","763.991097"
"Lasioglossum_marginellum","7","91.428571","111.883656","42.288047","1309.699024"
"Rophites_hartmanni","7","57.142857","87.894688","33.221069","1309.699024"
"Lasioglossum_sexnotatulum","23","85.869565","114.759553","23.929021","398.604051"
"Nomia_elliotii","27","89","67.514101","12.993095","339.551599"
"Lasioglossum_sordidum","40","146.625","72.350177","11.439567","229.197329"
"Lasioglossum_pseudotegulare","3","27","35.679126","20.599353","3055.964389"
"Lasioglossum_stictaspis","4","129","145.492268","72.746134","2291.973292"
"Lasioglossum_quadrinotatulum","52","82.788462","101.545573","14.081837","176.305638"
"Sphecodes_rufiventris","52","51.769231","75.12672","10.418202","176.305638"
"Lasioglossum_clypeare","28","54.142857","72.35341","13.673509","327.424756"
"Lasioglossum_griswoldi","1","10",NA,NA,"9167.893166"
"Corynura_patagonica","16","134.1875","66.789439","16.69736","572.993323"
"Sphecodes_nomioidis","2","24.5","20.506097","14.5","4583.946583"
"Sphecodes_zangherii","9","47.222222","79.066076","26.355359","1018.654796"
"Sphecodes_cristatus","8","141.25","121.868489","43.087017","1145.986646"
"Sphecodes_alternatus","30","99.466667","112.678895","20.572258","305.596439"
"Lasioglossum_buccale","13","23.461538","17.576572","4.874864","705.222551"
"Lasioglossum_sphecodimorphum","4","26.25","12.010412","6.005206","2291.973292"
"Lasioglossum_virens","3","38","16.522712","9.539392","3055.964389"
"Nomia_yunnanensis","8","97.875","35.662856","12.608724","1145.986646"
"Corynura_corinogaster","24","84.208333","77.322576","15.783405","381.995549"
"Nomia_amboinensis","3","51.333333","13.051181","7.535103","3055.964389"
"Patellapis_inelegans","2","102.5","13.435029","9.5","4583.946583"
"Agapostemon_viequesensis","2","187","96.166522","68","4583.946583"
"Lasioglossum_gundlachii","2","255","0","0","4583.946583"
"Halictus_senilis","15","91.866667","119.719832","30.911528","611.192878"
"Lasioglossum_umbripenne","7","158.857143","61.363476","23.193214","1309.699024"
"Lasioglossum_kiautschouense","2","7","0","0","4583.946583"
"Patellapis_albofasciata","6","68.5","93.215342","38.055004","1527.982194"
"Augochloropsis_cupreola","13","179.230769","81.676347","22.652943","705.222551"
"Neocorynura_aenigma","4","149.25","83.619675","41.809838","2291.973292"
"Augochlora_foxiana","8","135.75","62.128323","21.965679","1145.986646"
"Halictillus_loureiroi","2","165","127.279221","90","4583.946583"
"Ceratalictus_clonius","1","79",NA,NA,"9167.893166"
"Rhinocorynura_inflaticeps","2","100.5","30.405592","21.5","4583.946583"
"Augochloropsis_cognata","3","197.666667","99.304246","57.333333","3055.964389"
"Lasioglossum_imitatum","172","69.040698","101.36007","7.728633","53.301704"
"Sphecodes_minor","42","71.857143","104.037885","16.053394","218.283171"
"Lasioglossum_raleighense","4","142.5","129.914074","64.957037","2291.973292"
"Corynura_lepida","6","84.666667","89.047553","36.353511","1527.982194"
"Lasioglossum_parvum","4","255","0","0","2291.973292"
"Lasioglossum_berberum","1","255",NA,NA,"9167.893166"
"Penapis_penai","9","200.222222","108.69887","36.232957","1018.654796"
"Pseudapis_anthidioides","11","69.909091","66.035528","19.910461","833.444833"
"Pseudapis_cinerea","46","69.73913","99.959422","14.738213","199.302025"
"Steganomus_junodi","17","73.470588","72.99582","17.704087","539.287833"
"Lipotriches_patellifera","36","100.444444","81.25109","13.541848","254.663699"
"Lasioglossum_truncaticolle","8","83.125","106.62007","37.695887","1145.986646"
"Patellapis_minutior","6","10.333333","4.033196","1.646545","1527.982194"
"Lipotriches_collaris","4","84.5","23.444971","11.722485","2291.973292"
"Patellapis_montagui","7","80.285714","119.386926","45.124017","1309.699024"
"Patellapis_malachurina","2","50","0","0","4583.946583"
"Penapis_toroi","4","193","124","62","2291.973292"
"Ariphanarthra_palpalis","3","155.666667","90.162816","52.055526","3055.964389"
"Lipotriches_minutula","2","37.5","2.12132","1.5","4583.946583"
"Thrinchostoma_sladeni","5","113","33.007575","14.761436","1833.578633"
"Lasioglossum_speculinum","2","32","41.012193","29","4583.946583"
"Lasioglossum_apristum","17","50.882353","78.780456","19.107067","539.287833"
"Lasioglossum_immunitum","1","255",NA,NA,"9167.893166"
"Sphecodes_longuloides","1","36",NA,NA,"9167.893166"
"Pseudapis_pandeana","5","75","101.483989","45.38502","1833.578633"
"Thrinchostoma_seyrigi","1","112",NA,NA,"9167.893166"
"Lasioglossum_articulare","7","255","0","0","1309.699024"
"Ceylalictus_tumidus","1","255",NA,NA,"9167.893166"
"Lasioglossum_mesosclerum","4","192","126","63","2291.973292"
"Lasioglossum_figueresi","1","166",NA,NA,"9167.893166"
"Thectochlora_basiatra","21","151.142857","79.982052","17.453515","436.566341"
"Neocorynura_melamptera","6","145.166667","68.595675","28.004067","1527.982194"
"Thrinchostoma_lemuriae","1","97",NA,NA,"9167.893166"
"Thrinchostoma_conjungens","1","112",NA,NA,"9167.893166"
"Lasioglossum_quadrinotatiforme","0","NaN",NA,NA,"Inf"
"Lasioglossum_cupreicolle","6","192.333333","83.579104","34.121026","1527.982194"
"Goeletapis_peruensis","4","193","124","62","2291.973292"
"Systropha_glabriventris","7","52.571429","90.349059","34.148734","1309.699024"
"Lasioglossum_dynastes","1","10",NA,NA,"9167.893166"
"Lasioglossum_crassepunctatum","2","21.5","4.949747","3.5","4583.946583"
"Lasioglossum_pseudoplanulum","2","8.5","2.12132","1.5","4583.946583"
"Lasioglossum_aureolum","1","7",NA,NA,"9167.893166"
"Lasioglossum_soror","3","30.666667","2.309401","1.333333","3055.964389"
"Systropha_maroccana","1","255",NA,NA,"9167.893166"
"Lasioglossum_dybowskii","1","7",NA,NA,"9167.893166"
"Augochlora_phoemonoe","1","198",NA,NA,"9167.893166"
"Lasioglossum_pseudopectorale","1","255",NA,NA,"9167.893166"
"Eupetersia_seyrigi","1","112",NA,NA,"9167.893166"
"Lasioglossum_nupricola","0","NaN",NA,NA,"Inf"
"Lasioglossum_kansuense","2","12.5","7.778175","5.5","4583.946583"
"Sphecodes_pinguiculus","4","255","0","0","2291.973292"
"Samba_atra","7","7.857143","5.113009","1.932536","1309.699024"
"Samba_ogilviei","6","9.333333","4.412105","1.801234","1527.982194"
"Samba_griseonigra","5","58","110.168053","49.268651","1833.578633"
"Melitta_aegyptiaca","5","109","133.392279","59.654841","1833.578633"
"Lasioglossum_surianae","2","145.5","154.856385","109.5","4583.946583"
"Chelostoma_philadelphi","76","98.394737","117.193524","13.443019","120.630173"
"Lasioglossum_izawsum","2","12.5","7.778175","5.5","4583.946583"
"Lasioglossum_zingowli","1","133",NA,NA,"9167.893166"
"Halictus_phryganicus","1","255",NA,NA,"9167.893166"
"Lasioglossum_ceanothi","2","14","0","0","4583.946583"
"Lasioglossum_robertsoni","1","14",NA,NA,"9167.893166"
"Dasypoda_hirtipes","293","92.651877","103.591937","6.051906","31.289738"
"Melitta_americana","22","91.727273","104.118148","22.198064","416.722417"
"Dasypoda_argentata","129","79.124031","94.116534","8.286499","71.068939"
"Hesperapis_larreae","37","52.027027","99.419841","16.344521","247.780896"
"Hesperapis_rhodocerata","13","24.461538","69.309229","19.222921","705.222551"
"Hesperapis_trochanterata","1","3",NA,NA,"9167.893166"
"Hesperapis_regularis","17","48.588235","79.174695","19.202684","539.287833"
"Macropis_nuda","57","79.859649","110.669947","14.658593","160.840231"
"Melitta_maura","2","132.5","173.241161","122.5","4583.946583"
"Melitta_eickworti","5","113.4","129.268326","57.810553","1833.578633"
"Capicola_richtersveldensis","5","57.2","110.644476","49.481714","1833.578633"
"Melitta_ezoana","1","7",NA,NA,"9167.893166"
"Patellapis_minima","1","7",NA,NA,"9167.893166"
"Patellapis_coccinea","1","112",NA,NA,"9167.893166"
"Patellapis_joffrei","1","112",NA,NA,"9167.893166"
"Lasioglossum_nicolli","2","150.5","147.785317","104.5","4583.946583"
"Thrinchostoma_sakalavum","2","102.5","13.435029","9.5","4583.946583"
"Lasioglossum_avalonense","3","104","131.190701","75.742987","3055.964389"
